type,policy_logps,reference_logps,rewards,lengths
chosen,-34.78215026855469,-21.99365234375,-1.2788498401641846,-246
rejected,-34.12891387939453,-25.12323570251465,-0.9005678296089172,-240
chosen,-28.009653091430664,-24.16716766357422,-0.3842485547065735,-48
rejected,-48.94020462036133,-49.81239700317383,0.08721923828125,-41
chosen,-564.9407958984375,-534.1898193359375,-3.0750977993011475,257
rejected,-410.63128662109375,-385.051025390625,-2.558026075363159,185
chosen,-97.89026641845703,-94.11823272705078,-0.3772033751010895,-64
rejected,-126.24314880371094,-130.85421752929688,0.4611068665981293,-25
chosen,-8.465067863464355,-8.756526947021484,0.02914590947329998,-14
rejected,-36.47276306152344,-24.508089065551758,-1.196467399597168,-9
chosen,-206.68124389648438,-179.51046752929688,-2.7170777320861816,43
rejected,-81.68251037597656,-79.96478271484375,-0.171772763133049,-12
chosen,-31.626205444335938,-24.587133407592773,-0.7039071917533875,-199
rejected,-105.18014526367188,-90.52338409423828,-1.465676188468933,-176
chosen,-45.36676788330078,-31.53748893737793,-1.3829278945922852,-284
rejected,-39.738224029541016,-31.756559371948242,-0.7981664538383484,-277
chosen,-52.72398376464844,-33.48197937011719,-1.924200415611267,-150
rejected,-137.39080810546875,-115.01652526855469,-2.2374284267425537,-107
chosen,-32.864967346191406,-19.68478012084961,-1.3180187940597534,-9
rejected,-83.87767028808594,-64.91545104980469,-1.8962219953536987,21
chosen,-39.984214782714844,-37.45872116088867,-0.2525493800640106,-158
rejected,-180.14254760742188,-174.65469360351562,-0.548785388469696,-40
chosen,-93.4899673461914,-80.48971557617188,-1.300025224685669,-329
rejected,-252.45565795898438,-211.02200317382812,-4.143365383148193,-257
chosen,-95.7371597290039,-90.43282318115234,-0.5304336547851562,-23
rejected,-59.6160774230957,-47.578853607177734,-1.203722357749939,-53
chosen,-75.56513214111328,-58.343021392822266,-1.7222111225128174,-39
rejected,-132.6318359375,-111.8686752319336,-2.0763161182403564,-31
chosen,-64.54547119140625,-60.743751525878906,-0.3801719844341278,-27
rejected,-42.57763671875,-21.95229721069336,-2.0625340938568115,-49
chosen,-69.8501205444336,-52.48679733276367,-1.7363322973251343,-5
rejected,-394.0164489746094,-336.6317138671875,-5.738473415374756,154
chosen,-23.46333122253418,-18.40038299560547,-0.506294846534729,-22
rejected,-179.2333221435547,-123.99995422363281,-5.523336887359619,22
chosen,-309.6337585449219,-291.17181396484375,-1.8461945056915283,0
rejected,-243.43939208984375,-243.08273315429688,-0.03566589578986168,-124
chosen,-52.02075958251953,-42.55403137207031,-0.9466728568077087,6
rejected,-101.82318878173828,-61.743289947509766,-4.007989883422852,5
chosen,-3.1897785663604736,-4.182542324066162,0.09927637875080109,-123
rejected,-147.6278839111328,-124.70866394042969,-2.291922092437744,-65
chosen,-104.3150634765625,-96.9232177734375,-0.739184558391571,-179
rejected,-323.37689208984375,-309.559814453125,-1.381707787513733,-69
chosen,-78.23053741455078,-71.49120330810547,-0.6739334464073181,-144
rejected,-31.520870208740234,-20.462337493896484,-1.1058533191680908,-155
chosen,-67.95989990234375,-54.57404708862305,-1.3385852575302124,-8
rejected,-77.56336212158203,-62.98040771484375,-1.458295464515686,-13
chosen,-127.25658416748047,-125.8866958618164,-0.1369888335466385,-126
rejected,-376.44866943359375,-358.93902587890625,-1.7509644031524658,-10
chosen,-202.21206665039062,-193.09017944335938,-0.912188708782196,-189
rejected,-118.6414794921875,-106.38751220703125,-1.225396752357483,-206
chosen,-118.53430938720703,-101.32600402832031,-1.7208305597305298,-239
rejected,-125.7760238647461,-128.47628784179688,0.27002641558647156,-198
chosen,-146.46047973632812,-132.92205810546875,-1.3538421392440796,-215
rejected,-83.0898208618164,-58.20683288574219,-2.4882988929748535,-197
chosen,-202.52310180664062,-185.63827514648438,-1.688482642173767,-70
