type,policy_logps,reference_logps,rewards,lengths
chosen,-57.86205291748047,-21.99365234375,-3.5868401527404785,-246
rejected,-60.09178161621094,-25.12323570251465,-3.496854543685913,-240
chosen,-53.64250183105469,-24.16716766357422,-2.947533369064331,-48
rejected,-67.2781753540039,-49.81239700317383,-1.7465778589248657,-41
chosen,-573.788330078125,-534.1898193359375,-3.959851026535034,257
rejected,-420.25396728515625,-385.051025390625,-3.520294189453125,185
chosen,-115.45697784423828,-94.11823272705078,-2.1338746547698975,-64
rejected,-133.20376586914062,-130.85421752929688,-0.234954833984375,-25
chosen,-29.655967712402344,-8.756526947021484,-2.0899441242218018,-14
rejected,-53.514610290527344,-24.508089065551758,-2.9006521701812744,-9
chosen,-214.710693359375,-179.51046752929688,-3.5200226306915283,43
rejected,-100.3460693359375,-79.96478271484375,-2.038128614425659,-12
chosen,-59.17105484008789,-24.587133407592773,-3.458392381668091,-199
rejected,-120.33818054199219,-90.52338409423828,-2.9814796447753906,-176
chosen,-77.75193786621094,-31.53748893737793,-4.6214447021484375,-284
rejected,-51.265262603759766,-31.756559371948242,-1.950870394706726,-277
chosen,-93.13288879394531,-33.48197937011719,-5.965091228485107,-150
rejected,-189.4886932373047,-115.01652526855469,-7.447216987609863,-107
chosen,-61.529170989990234,-19.68478012084961,-4.184439182281494,-9
rejected,-100.9754638671875,-64.91545104980469,-3.606001377105713,21
chosen,-51.50035095214844,-37.45872116088867,-1.4041630029678345,-158
rejected,-178.4761962890625,-174.65469360351562,-0.382150262594223,-40
chosen,-110.43452453613281,-80.48971557617188,-2.994480848312378,-329
rejected,-271.6604309082031,-211.02200317382812,-6.0638427734375,-257
chosen,-118.52062225341797,-90.43282318115234,-2.8087799549102783,-23
rejected,-94.79374694824219,-47.578853607177734,-4.721489429473877,-53
chosen,-98.9475326538086,-58.343021392822266,-4.060451030731201,-39
rejected,-158.87501525878906,-111.8686752319336,-4.700634002685547,-31
chosen,-70.74276733398438,-60.743751525878906,-0.9999015927314758,-27
rejected,-72.0164566040039,-21.95229721069336,-5.006415843963623,-49
chosen,-111.96116638183594,-52.48679733276367,-5.947436809539795,-5
rejected,-409.874267578125,-336.6317138671875,-7.324255466461182,154
chosen,-30.97722053527832,-18.40038299560547,-1.2576837539672852,-22
rejected,-233.63258361816406,-123.99995422363281,-10.963263511657715,22
chosen,-308.8654479980469,-291.17181396484375,-1.7693634033203125,0
rejected,-250.59844970703125,-243.08273315429688,-0.7515716552734375,-124
chosen,-63.13953399658203,-42.55403137207031,-2.0585503578186035,6
rejected,-123.553466796875,-61.743289947509766,-6.181017875671387,5
chosen,-11.656137466430664,-4.182542324066162,-0.7473595142364502,-123
rejected,-162.58599853515625,-124.70866394042969,-3.787733554840088,-65
chosen,-126.1314468383789,-96.9232177734375,-2.920822858810425,-179
rejected,-347.930908203125,-309.559814453125,-3.837109327316284,-69
chosen,-86.19561767578125,-71.49120330810547,-1.470441460609436,-144
rejected,-57.18875503540039,-20.462337493896484,-3.6726417541503906,-155
chosen,-91.48929595947266,-54.57404708862305,-3.6915249824523926,-8
rejected,-101.83169555664062,-62.98040771484375,-3.8851287364959717,-13
